Date,Time,open,high,low,close,volume
2025-10-08,09:30:00:000:000:000,6773.5,6774.0,6772.5,6773.0,1311
2025-10-08,09:30:01:000:000:000,6773.0,6773.5,6772.75,6773.0,612
2025-10-08,09:30:02:000:000:000,6773.0,6773.5,6772.5,6772.75,151
2025-10-08,09:30:03:000:000:000,6773.0,6774.25,6772.75,6773.25,225
2025-10-08,09:30:04:000:000:000,6773.5,6774.0,6773.5,6774.0,114
2025-10-08,09:30:05:000:000:000,6774.0,6774.0,6773.25,6773.5,226
2025-10-08,09:30:06:000:000:000,6773.25,6773.5,6772.75,6773.25,224
2025-10-08,09:30:07:000:000:000,6773.0,6773.75,6773.0,6773.25,77
2025-10-08,09:30:08:000:000:000,6773.25,6773.25,6772.25,6772.25,98
2025-10-08,09:30:09:000:000:000,6772.5,6773.0,6772.0,6772.75,414
2025-10-08,09:30:10:000:000:000,6772.5,6773.5,6772.5,6773.0,186
2025-10-08,09:30:11:000:000:000,6773.0,6774.0,6773.0,6773.75,261
2025-10-08,09:30:12:000:000:000,6774.0,6774.0,6773.75,6774.0,135
2025-10-08,09:30:13:000:000:000,6773.75,6774.0,6773.5,6773.5,175
2025-10-08,09:30:14:000:000:000,6773.5,6773.75,6773.5,6773.5,89
2025-10-08,09:30:15:000:000:000,6773.5,6773.75,6773.5,6773.5,130
2025-10-08,09:30:16:000:000:000,6773.5,6773.5,6773.25,6773.5,101
2025-10-08,09:30:17:000:000:000,6773.5,6773.5,6773.25,6773.25,58
2025-10-08,09:30:18:000:000:000,6773.5,6773.5,6772.5,6772.5,59
2025-10-08,09:30:19:000:000:000,6772.5,6773.0,6772.5,6772.75,126
2025-10-08,09:30:20:000:000:000,6772.75,6773.0,6772.5,6772.75,116
2025-10-08,09:30:21:000:000:000,6772.75,6772.75,6772.5,6772.5,47
2025-10-08,09:30:22:000:000:000,6772.75,6772.75,6772.5,6772.5,174
2025-10-08,09:30:23:000:000:000,6772.5,6773.0,6772.5,6773.0,102
2025-10-08,09:30:24:000:000:000,6773.0,6773.0,6772.75,6772.75,28
2025-10-08,09:30:25:000:000:000,6772.75,6773.0,6772.5,6772.5,22
2025-10-08,09:30:26:000:000:000,6773.0,6773.0,6772.75,6773.0,16
2025-10-08,09:30:27:000:000:000,6772.75,6773.25,6772.75,6773.0,55
2025-10-08,09:30:28:000:000:000,6773.25,6773.25,6772.75,6772.75,79
2025-10-08,09:30:29:000:000:000,6773.0,6773.5,6773.0,6773.0,67
2025-10-08,09:30:30:000:000:000,6773.0,6773.5,6773.0,6773.5,62
2025-10-08,09:30:31:000:000:000,6773.5,6773.5,6773.0,6773.0,29
2025-10-08,09:30:32:000:000:000,6773.5,6773.5,6773.0,6773.0,20
2025-10-08,09:30:33:000:000:000,6773.0,6773.5,6773.0,6773.25,46
2025-10-08,09:30:34:000:000:000,6773.25,6773.25,6773.0,6773.0,10
2025-10-08,09:30:35:000:000:000,6773.0,6773.0,6772.5,6773.0,112
2025-10-08,09:30:36:000:000:000,6773.0,6773.0,6773.0,6773.0,22
2025-10-08,09:30:37:000:000:000,6773.0,6774.25,6773.0,6774.0,185
2025-10-08,09:30:38:000:000:000,6774.0,6774.0,6773.75,6773.75,46
2025-10-08,09:30:39:000:000:000,6774.0,6774.0,6774.0,6774.0,56
