Date,Time,open,high,low,close,volume
2025-10-03,09:30:00:000:000:000,25133.5,25136.75,25131.0,25134.25,499
2025-10-03,09:30:01:000:000:000,25134.5,25141.0,25133.5,25139.75,436
2025-10-03,09:30:02:000:000:000,25140.25,25140.5,25137.0,25138.0,249
2025-10-03,09:30:03:000:000:000,25138.0,25139.25,25136.75,25139.25,94
2025-10-03,09:30:04:000:000:000,25139.5,25141.0,25139.0,25140.0,128
2025-10-03,09:30:05:000:000:000,25139.75,25139.75,25136.75,25139.25,238
2025-10-03,09:30:06:000:000:000,25138.75,25139.5,25137.25,25137.25,74
2025-10-03,09:30:07:000:000:000,25137.5,25141.25,25137.5,25139.25,101
2025-10-03,09:30:08:000:000:000,25139.25,25141.0,25138.75,25140.25,114
2025-10-03,09:30:09:000:000:000,25141.0,25142.0,25139.0,25139.5,121
2025-10-03,09:30:10:000:000:000,25139.5,25139.75,25137.25,25137.5,136
2025-10-03,09:30:11:000:000:000,25137.75,25142.0,25137.0,25142.0,161
2025-10-03,09:30:12:000:000:000,25142.0,25143.5,25141.75,25142.25,162
2025-10-03,09:30:13:000:000:000,25142.0,25142.0,25138.25,25139.75,142
2025-10-03,09:30:14:000:000:000,25139.75,25140.0,25138.25,25139.0,106
2025-10-03,09:30:15:000:000:000,25139.0,25141.0,25139.0,25140.0,121
2025-10-03,09:30:16:000:000:000,25140.5,25141.5,25139.0,25139.0,85
2025-10-03,09:30:17:000:000:000,25139.25,25140.5,25138.0,25139.5,92
2025-10-03,09:30:18:000:000:000,25139.5,25141.25,25138.5,25141.0,63
2025-10-03,09:30:19:000:000:000,25141.0,25141.0,25138.5,25140.5,101
2025-10-03,09:30:20:000:000:000,25141.0,25141.25,25138.75,25140.75,107
2025-10-03,09:30:21:000:000:000,25140.5,25142.5,25140.0,25141.5,83
2025-10-03,09:30:22:000:000:000,25141.75,25142.0,25139.5,25139.75,63
2025-10-03,09:30:23:000:000:000,25139.75,25141.5,25138.0,25141.25,113
2025-10-03,09:30:24:000:000:000,25140.75,25141.5,25140.0,25140.25,44
2025-10-03,09:30:25:000:000:000,25140.0,25141.0,25138.5,25139.0,53
2025-10-03,09:30:26:000:000:000,25138.5,25143.5,25137.0,25143.5,172
2025-10-03,09:30:27:000:000:000,25143.5,25146.0,25143.25,25145.0,338
2025-10-03,09:30:28:000:000:000,25145.25,25146.5,25143.25,25143.75,259
2025-10-03,09:30:29:000:000:000,25143.75,25143.75,25142.25,25142.75,110
2025-10-03,09:30:30:000:000:000,25142.25,25143.0,25140.75,25141.25,151
2025-10-03,09:30:31:000:000:000,25141.0,25141.0,25137.25,25138.75,106
2025-10-03,09:30:32:000:000:000,25138.75,25141.25,25138.75,25140.0,126
2025-10-03,09:30:33:000:000:000,25140.5,25140.75,25138.75,25139.5,77
2025-10-03,09:30:34:000:000:000,25138.75,25139.75,25137.25,25139.75,66
2025-10-03,09:30:35:000:000:000,25139.5,25139.75,25136.25,25136.5,144
2025-10-03,09:30:36:000:000:000,25136.75,25136.75,25132.5,25134.0,215
2025-10-03,09:30:37:000:000:000,25134.75,25135.0,25130.0,25131.0,375
2025-10-03,09:30:38:000:000:000,25131.0,25132.75,25130.25,25130.5,182
2025-10-03,09:30:39:000:000:000,25130.5,25131.5,25128.75,25129.25,189
2025-10-03,09:30:40:000:000:000,25129.0,25131.0,25128.25,25130.75,242
2025-10-03,09:30:41:000:000:000,25130.5,25132.25,25129.5,25131.25,146
2025-10-03,09:30:42:000:000:000,25131.5,25131.5,25129.0,25130.75,96
2025-10-03,09:30:43:000:000:000,25130.75,25131.25,25128.0,25128.25,105
2025-10-03,09:30:44:000:000:000,25127.75,25130.5,25126.75,25129.25,178
2025-10-03,09:30:45:000:000:000,25129.5,25129.75,25126.0,25126.0,309
2025-10-03,09:30:46:000:000:000,25126.0,25127.0,25125.0,25126.5,233
2025-10-03,09:30:47:000:000:000,25126.5,25126.75,25124.0,25125.5,223
2025-10-03,09:30:48:000:000:000,25125.5,25126.25,25124.25,25124.75,113
2025-10-03,09:30:49:000:000:000,25124.5,25126.5,25124.5,25125.5,107
2025-10-03,09:30:50:000:000:000,25125.25,25126.75,25124.25,25126.25,101
2025-10-03,09:30:51:000:000:000,25126.5,25127.25,25121.75,25122.5,238
2025-10-03,09:30:52:000:000:000,25122.5,25124.25,25122.0,25122.0,144
2025-10-03,09:30:53:000:000:000,25122.0,25122.75,25120.0,25122.25,257
2025-10-03,09:30:54:000:000:000,25122.25,25123.25,25121.0,25122.25,203
2025-10-03,09:30:55:000:000:000,25122.0,25124.25,25121.25,25123.0,162
2025-10-03,09:30:56:000:000:000,25123.0,25125.0,25122.0,25124.0,123
2025-10-03,09:30:57:000:000:000,25124.25,25127.5,25124.25,25127.25,179
2025-10-03,09:30:58:000:000:000,25127.0,25127.25,25124.75,25124.75,89
2025-10-03,09:30:59:000:000:000,25125.0,25127.75,25125.0,25127.5,125
2025-10-03,09:31:00:000:000:000,25128.0,25129.25,25126.25,25126.25,178
2025-10-03,09:31:01:000:000:000,25125.25,25126.25,25123.5,25126.25,75
2025-10-03,09:31:02:000:000:000,25126.5,25130.0,25126.5,25129.0,131
2025-10-03,09:31:03:000:000:000,25129.25,25130.5,25127.25,25128.5,176
2025-10-03,09:31:04:000:000:000,25128.25,25128.5,25125.5,25126.25,140
2025-10-03,09:31:05:000:000:000,25125.25,25126.75,25124.0,25125.0,122
2025-10-03,09:31:06:000:000:000,25125.5,25126.75,25125.25,25125.5,79
2025-10-03,09:31:07:000:000:000,25125.5,25125.5,25122.5,25123.5,123
2025-10-03,09:31:08:000:000:000,25123.75,25125.25,25123.75,25124.75,67
2025-10-03,09:31:09:000:000:000,25124.25,25125.0,25123.5,25124.5,30
2025-10-03,09:31:10:000:000:000,25124.25,25124.25,25121.0,25122.25,141
2025-10-03,09:31:11:000:000:000,25122.75,25123.25,25121.25,25123.0,120
2025-10-03,09:31:12:000:000:000,25122.75,25126.25,25122.75,25126.0,142
2025-10-03,09:31:13:000:000:000,25126.25,25129.25,25125.75,25129.25,117
2025-10-03,09:31:14:000:000:000,25128.75,25128.75,25127.5,25128.25,51
2025-10-03,09:31:15:000:000:000,25128.25,25131.75,25128.25,25130.25,110
2025-10-03,09:31:16:000:000:000,25130.25,25131.75,25129.5,25131.5,62
2025-10-03,09:31:17:000:000:000,25131.5,25132.75,25130.75,25132.75,76
2025-10-03,09:31:18:000:000:000,25133.0,25133.75,25131.5,25133.25,98
2025-10-03,09:31:19:000:000:000,25133.25,25135.5,25133.25,25134.25,149
2025-10-03,09:31:20:000:000:000,25133.75,25137.0,25133.75,25135.0,139
2025-10-03,09:31:21:000:000:000,25134.25,25138.75,25134.25,25136.25,173
2025-10-03,09:31:22:000:000:000,25136.0,25136.5,25134.5,25135.75,138
2025-10-03,09:31:23:000:000:000,25135.75,25140.75,25135.75,25140.25,219
2025-10-03,09:31:24:000:000:000,25140.5,25141.25,25137.25,25137.25,199
2025-10-03,09:31:25:000:000:000,25137.25,25140.25,25137.25,25140.25,89
2025-10-03,09:31:26:000:000:000,25140.75,25142.75,25140.25,25142.0,191
2025-10-03,09:31:27:000:000:000,25142.0,25143.0,25141.25,25142.75,93
2025-10-03,09:31:28:000:000:000,25143.0,25143.0,25140.25,25142.0,114
2025-10-03,09:31:29:000:000:000,25141.5,25144.25,25141.5,25143.25,127
2025-10-03,09:31:30:000:000:000,25143.25,25144.0,25142.75,25143.0,117
2025-10-03,09:31:31:000:000:000,25143.75,25147.5,25143.5,25147.5,295
2025-10-03,09:31:32:000:000:000,25147.25,25150.5,25146.75,25150.5,621
2025-10-03,09:31:33:000:000:000,25150.25,25155.5,25149.75,25153.25,675
2025-10-03,09:31:34:000:000:000,25153.5,25156.5,25152.5,25153.25,476
2025-10-03,09:31:35:000:000:000,25153.0,25156.25,25152.25,25153.5,455
2025-10-03,09:31:36:000:000:000,25153.75,25157.0,25152.75,25155.25,331
2025-10-03,09:31:37:000:000:000,25156.0,25156.0,25154.25,25155.25,248
2025-10-03,09:31:38:000:000:000,25155.25,25155.75,25152.0,25152.0,259
2025-10-03,09:31:39:000:000:000,25152.75,25155.75,25151.5,25155.0,171
2025-10-03,09:31:40:000:000:000,25155.25,25155.25,25150.75,25151.25,201
2025-10-03,09:31:41:000:000:000,25151.25,25153.5,25151.0,25152.5,137
2025-10-03,09:31:42:000:000:000,25152.75,25153.0,25150.5,25152.25,150
2025-10-03,09:31:43:000:000:000,25151.75,25154.75,25151.75,25154.25,157
2025-10-03,09:31:44:000:000:000,25154.5,25157.5,25154.5,25157.25,168
2025-10-03,09:31:45:000:000:000,25157.25,25159.0,25157.0,25157.75,175
2025-10-03,09:31:46:000:000:000,25157.75,25159.0,25157.25,25158.0,142
2025-10-03,09:31:47:000:000:000,25158.5,25159.75,25157.5,25159.25,140
2025-10-03,09:31:48:000:000:000,25159.5,25159.75,25158.0,25159.25,171
2025-10-03,09:31:49:000:000:000,25159.5,25159.75,25157.0,25157.75,127
2025-10-03,09:31:50:000:000:000,25157.25,25158.25,25156.5,25156.5,172
2025-10-03,09:31:51:000:000:000,25156.75,25159.25,25156.5,25158.25,100
2025-10-03,09:31:52:000:000:000,25158.75,25158.75,25156.75,25157.25,116
2025-10-03,09:31:53:000:000:000,25157.25,25157.25,25154.5,25154.75,127
2025-10-03,09:31:54:000:000:000,25154.75,25155.0,25152.25,25153.75,152
2025-10-03,09:31:55:000:000:000,25153.5,25156.0,25153.25,25156.0,99
2025-10-03,09:31:56:000:000:000,25155.75,25156.75,25155.5,25155.75,69
2025-10-03,09:31:57:000:000:000,25155.75,25157.75,25155.5,25157.25,88
2025-10-03,09:31:58:000:000:000,25157.5,25158.5,25156.75,25157.75,69
2025-10-03,09:31:59:000:000:000,25157.75,25159.0,25157.5,25158.5,89
2025-10-03,09:32:00:000:000:000,25158.75,25160.0,25157.25,25157.5,251
