Date,Time,open,high,low,close,volume
2025-10-07,09:30:00:000:000:000,25237.25,25238.25,25234.25,25235.75,396
2025-10-07,09:30:01:000:000:000,25235.75,25239.0,25235.75,25237.25,226
2025-10-07,09:30:02:000:000:000,25236.5,25238.25,25233.5,25235.0,188
2025-10-07,09:30:03:000:000:000,25235.25,25235.5,25232.25,25232.25,200
2025-10-07,09:30:04:000:000:000,25232.0,25236.75,25230.0,25236.75,357
2025-10-07,09:30:05:000:000:000,25235.5,25237.0,25234.75,25236.0,144
2025-10-07,09:30:06:000:000:000,25235.0,25235.75,25232.0,25233.5,158
2025-10-07,09:30:07:000:000:000,25233.0,25235.5,25232.75,25233.0,101
2025-10-07,09:30:08:000:000:000,25232.25,25234.0,25231.75,25232.0,64
2025-10-07,09:30:09:000:000:000,25232.25,25233.0,25230.75,25231.75,105
2025-10-07,09:30:10:000:000:000,25231.75,25232.25,25230.0,25231.0,169
2025-10-07,09:30:11:000:000:000,25231.25,25233.25,25230.75,25231.75,145
2025-10-07,09:30:12:000:000:000,25231.5,25233.0,25231.5,25232.0,91
2025-10-07,09:30:13:000:000:000,25232.0,25233.25,25231.25,25232.25,73
2025-10-07,09:30:14:000:000:000,25232.5,25233.5,25231.0,25231.5,97
2025-10-07,09:30:15:000:000:000,25231.75,25232.0,25230.25,25230.75,70
2025-10-07,09:30:16:000:000:000,25230.75,25231.5,25230.25,25230.25,109
2025-10-07,09:30:17:000:000:000,25230.25,25231.75,25230.0,25230.0,145
2025-10-07,09:30:18:000:000:000,25231.0,25231.0,25228.5,25228.5,213
2025-10-07,09:30:19:000:000:000,25228.5,25228.5,25223.5,25224.5,468
2025-10-07,09:30:20:000:000:000,25224.5,25224.5,25220.75,25221.5,444
2025-10-07,09:30:21:000:000:000,25221.5,25222.75,25221.0,25222.75,236
2025-10-07,09:30:22:000:000:000,25222.5,25223.5,25221.5,25221.5,156
2025-10-07,09:30:23:000:000:000,25222.0,25222.25,25220.5,25222.25,208
2025-10-07,09:30:24:000:000:000,25221.75,25222.0,25220.25,25221.5,167
2025-10-07,09:30:25:000:000:000,25221.75,25222.0,25219.0,25219.25,288
2025-10-07,09:30:26:000:000:000,25219.25,25219.25,25217.0,25218.75,219
2025-10-07,09:30:27:000:000:000,25218.5,25219.25,25217.0,25218.75,212
2025-10-07,09:30:28:000:000:000,25219.0,25223.25,25219.0,25223.25,202
2025-10-07,09:30:29:000:000:000,25223.25,25225.5,25221.25,25223.25,243
2025-10-07,09:30:30:000:000:000,25223.25,25230.25,25223.25,25230.25,435
2025-10-07,09:30:31:000:000:000,25230.0,25230.25,25227.0,25227.0,154
2025-10-07,09:30:32:000:000:000,25227.0,25229.0,25227.0,25227.75,99
2025-10-07,09:30:33:000:000:000,25228.25,25228.5,25226.75,25228.0,118
2025-10-07,09:30:34:000:000:000,25228.0,25228.5,25227.0,25227.5,78
2025-10-07,09:30:35:000:000:000,25227.25,25228.0,25225.75,25227.25,131
2025-10-07,09:30:36:000:000:000,25227.75,25230.25,25227.75,25228.0,124
2025-10-07,09:30:37:000:000:000,25228.25,25234.5,25227.75,25234.0,284
2025-10-07,09:30:38:000:000:000,25233.5,25235.25,25233.5,25234.25,131
2025-10-07,09:30:39:000:000:000,25234.0,25235.25,25232.75,25233.0,102
2025-10-07,09:30:40:000:000:000,25233.5,25238.0,25233.5,25235.25,206
2025-10-07,09:30:41:000:000:000,25235.0,25236.5,25233.5,25234.25,140
