Date,Time,open,high,low,close,volume
2025-10-16,09:30:00:000:000:000,25045.25,25048.25,25041.5,25047.75,717
2025-10-16,09:30:01:000:000:000,25046.75,25047.75,25045.0,25046.25,354
2025-10-16,09:30:02:000:000:000,25046.25,25050.0,25044.25,25047.5,268
2025-10-16,09:30:03:000:000:000,25047.5,25048.75,25044.5,25045.5,266
2025-10-16,09:30:04:000:000:000,25046.75,25048.25,25044.25,25044.25,160
2025-10-16,09:30:05:000:000:000,25044.25,25044.5,25041.5,25042.75,128
2025-10-16,09:30:06:000:000:000,25043.5,25045.0,25041.0,25041.75,197
2025-10-16,09:30:07:000:000:000,25042.0,25044.75,25041.75,25042.5,215
2025-10-16,09:30:08:000:000:000,25042.75,25044.5,25042.25,25043.5,79
2025-10-16,09:30:09:000:000:000,25043.0,25047.25,25042.75,25046.75,96
2025-10-16,09:30:10:000:000:000,25046.25,25051.25,25045.5,25050.25,185
2025-10-16,09:30:11:000:000:000,25050.25,25055.75,25049.75,25053.75,463
2025-10-16,09:30:12:000:000:000,25053.75,25054.75,25051.75,25054.25,273
2025-10-16,09:30:13:000:000:000,25054.5,25057.0,25053.5,25056.75,214
2025-10-16,09:30:14:000:000:000,25057.0,25058.5,25052.25,25053.5,369
2025-10-16,09:30:15:000:000:000,25053.5,25055.5,25052.75,25054.25,176
2025-10-16,09:30:16:000:000:000,25054.25,25054.25,25049.5,25049.75,89
2025-10-16,09:30:17:000:000:000,25050.0,25053.25,25050.0,25052.25,77
2025-10-16,09:30:18:000:000:000,25052.25,25060.0,25052.25,25059.75,264
2025-10-16,09:30:19:000:000:000,25059.75,25061.25,25058.75,25060.75,172
2025-10-16,09:30:20:000:000:000,25060.5,25061.25,25059.5,25060.75,275
2025-10-16,09:30:21:000:000:000,25060.75,25061.25,25058.75,25060.0,159
2025-10-16,09:30:22:000:000:000,25060.0,25062.25,25058.5,25059.5,155
2025-10-16,09:30:23:000:000:000,25059.5,25060.0,25055.75,25056.0,128
2025-10-16,09:30:24:000:000:000,25055.5,25055.75,25052.0,25053.5,156
2025-10-16,09:30:25:000:000:000,25053.0,25055.0,25050.25,25051.0,90
2025-10-16,09:30:26:000:000:000,25050.5,25052.0,25048.75,25050.75,138
2025-10-16,09:30:27:000:000:000,25050.5,25053.25,25050.0,25050.0,73
2025-10-16,09:30:28:000:000:000,25050.25,25050.5,25046.75,25048.5,135
2025-10-16,09:30:29:000:000:000,25048.25,25051.75,25048.25,25049.75,72
2025-10-16,09:30:30:000:000:000,25049.5,25054.25,25047.0,25053.75,114
2025-10-16,09:30:31:000:000:000,25054.0,25057.25,25053.5,25056.75,132
2025-10-16,09:30:32:000:000:000,25057.0,25058.25,25056.0,25057.5,94
2025-10-16,09:30:33:000:000:000,25055.25,25060.5,25055.25,25059.25,135
